FZ,C3,CZ,C4,PZ,PO7,OZ,PO8
9.216397034753198,-21.306358537161195,-52.60491525062466,14.436682915180446,-22.831110287404105,-0.30698662649210173,7.773906250897769,7.5453444962801175
63.62939935982389,329.40741840408765,496.38537254822745,92.19749231474452,280.23521920890187,62.285482906550286,97.65606023938885,37.066847531214194
97.42710098185488,561.1032887664195,862.7604415470898,140.4989335531896,481.4821778126044,102.57728778273453,154.93272574139277,53.86477990414657
99.72188432027392,606.6884153773533,942.2013202573243,143.78815243539063,523.1140978131995,108.3010942880105,161.8706369195139,51.50503156024493
73.6301035075135,475.9148517613992,747.0146855384218,106.53073514344652,412.7073467150882,81.8751298597596,122.40867337507669,32.481808209222905
33.21187180294788,242.6307943772439,388.1887286680735,48.83053535249411,212.77458531288366,37.67018294720692,57.926760171356975,6.027762047885404
-4.470935566015416,4.494067607355854,15.384999825571898,-4.927607195503703,6.822517485286635,-5.930534755919882,-4.637993538125098,-17.155448432805997
-27.337744701676144,-161.39864008340618,-250.61751118291153,-37.48854401903184,-138.45968227088932,-34.972873911439386,-45.226687817750715,-29.976950722443682
-32.305339212716376,-225.09562615363038,-359.86185217512025,-44.46168802244083,-196.28241884335208,-44.68667049619593,-57.452737799251466,-31.27061634104366
-24.242716952116904,-203.7908852438348,-335.20363084378465,-32.81976394535399,-180.33663611181626,-39.070663060711,-47.702666804910024,-24.79253577303034
-11.622222374622968,-141.4608033871722,-242.60163040876603,-14.677964806079284,-127.81687175224889,-26.740251954155806,-28.830966537802507,-16.217409059112356
-1.8299815963364416,-82.70984951257547,-151.25140082675134,-0.5909477860409055,-77.11764673975425,-15.949338905843241,-12.830356866798269,-10.13253360606834
1.5800558514002259,-54.25910671843548,-104.27435269753136,4.368332503110476,-51.72789199908614,-11.296229286269922,-6.136974024946098,-8.454033217381506
-0.935083781998193,-59.99083724890083,-109.80769132010312,0.8597100618322124,-55.60882207671588,-13.06534018812057,-8.853744498682532,-10.53419134834687
-6.493614647338847,-87.32876965057807,-149.88339340660923,-6.99408815651646,-78.38745037445454,-18.61771785331613,-16.920525366714553,-14.32283453700637
-11.83785069289171,-118.37747073682598,-197.31061252527874,-14.536189277477055,-104.82758503079623,-24.52869125053586,-25.279857295833256,-17.706070624135247
-14.851467659203642,-139.50616086005772,-230.6743593796666,-18.743050025890614,-123.11730429267257,-28.33073198649924,-30.388728695343442,-19.42220472490658
-15.132119879023154,-145.96887437894395,-241.87359139374047,-19.041489155374773,-128.95481227706964,-29.29627125198926,-31.295120335048072,-19.350219264910805
-13.67395370032437,-141.27226421634046,-235.5503457145424,-16.853883859227235,-125.12483752914078,-28.244011349994075,-29.290433349077826,-18.242193534145002
-12.008976123757934,-133.09116199629665,-223.1036251696079,-14.370548995497648,-118.08546753404613,-26.711900898652466,-26.66070550690137,-17.133925568791796
-11.311925179999628,-128.42323366289418,-215.3533684219381,-13.270701425086987,-113.85002469832601,-26.013511301447,-25.305629547708804,-16.76205515389403
-11.923302253500667,-130.41974080210122,-217.5384027631276,-14.041580204581663,-115.2339160993557,-26.656682947092214,-25.924190262010026,-17.28181572313146
-13.443824875652947,-138.02416404187318,-228.46393952816504,-16.113904791059674,-121.45819305912606,-28.333170599702353,-28.045651772607684,-18.370377556254947
-15.17652540070234,-147.8120200535488,-243.08644822550025,-18.49296851939141,-129.65413176427313,-30.32344964853693,-30.639429372194105,-19.543039513660187
-16.542196399303982,-156.36640482008968,-256.1418235482464,-20.350589222809717,-136.89061880015146,-31.963612448180086,-32.770721704356625,-20.422500065129437
-17.267242512928824,-161.80828618868452,-264.63217099585506,-21.292229591785443,-141.52405483215568,-32.920284097001456,-33.95417971745085,-20.843226622177916
-17.40384081311652,-164.1905596217575,-268.5239384406802,-21.38657879113833,-143.5638977780206,-33.255879858907,-34.22366789429475,-20.856654856547745
-17.30095042352391,-165.18345697954078,-270.2308016223323,-21.12731626011515,-144.39530694537797,-33.37635517318526,-34.07757534224336,-20.721722895327975
-17.506968833666093,-167.34141367412943,-273.45220515217756,-21.298057709507436,-146.14241882597494,-33.880796660250745,-34.31635454387264,-20.84655344048029
-18.515555198362613,-172.90604818909918,-281.4424314324979,-22.611531367933456,-150.67430429252408,-35.27114553039625,-35.67925621480845,-21.601081736007416
-20.415637596866798,-182.3582467490918,-294.98330935939606,-25.20811160831574,-158.4202150884733,-37.59066675125239,-38.349655294009594,-23.048326810889673
-22.698588394771345,-193.5745390837877,-311.1656427938649,-28.374585571745783,-167.6667336868077,-40.232088434932855,-41.656046127426265,-24.793268086035795
-24.43935441664834,-202.50913044130453,-324.27899825965346,-30.79434682123696,-175.09348105726417,-42.14441371153517,-44.28541769436344,-26.11697638220633
-24.800321667230733,-205.4055086807056,-328.92191823928005,-31.259679846361188,-177.5828826333771,-42.4134808763933,-44.98311246863368,-26.35867227373166
-23.5752390887318,-201.39072001284944,-323.7610278419902,-29.447845293902965,-174.37840426505696,-40.91274002462932,-43.36315599134232,-25.336878594197255
-21.48982014223333,-193.94029576647125,-313.6999319447425,-26.360630233186633,-168.32118293489958,-38.65004625181978,-40.39592869749543,-23.599061961548287
-20.110826739321524,-190.25045449202645,-308.9670318396834,-24.214854434381863,-165.33509730015538,-37.57180287063273,-38.31258807369107,-22.377366779076155
-21.30466521939365,-198.3619979549645,-320.9227484968454,-25.69079579563437,-172.03397767153282,-39.77514225363323,-39.828746323073574,-23.180475901564307
-26.265268235719464,-222.5952686161762,-355.5239104336752,-32.55226492019034,-191.94739291983424,-46.27635051450568,-46.736821584675596,-27.016662633470837
-34.38477707486917,-258.7928138252261,-406.63273681521673,-44.016458783980305,-221.61184471868003,-55.771042164404804,-58.26254441113855,-33.46487275081302
-42.62290409359344,-292.0210593421485,-452.81366757108987,-55.80922057725686,-248.6766685036799,-64.13494905779696,-70.09508396807094,-40.13097759217513
-46.124541159307206,-299.58602464050875,-461.5303113646564,-60.991861214924846,-254.34141071951188,-65.401626855795,-75.15972047919917,-43.101955510021035
-40.259904797518345,-260.0705567382834,-401.82297158140443,-52.837664697740166,-220.74012482218237,-54.29078967527609,-66.46404185656509,-38.54952142047149
-23.2138535754677,-164.9879809018133,-260.9218752081705,-28.541098574589295,-140.56407691746998,-29.248943635919257,-40.8971801916394,-24.804754684524404
2.4831608181192815,-26.366138224930605,-55.51254860053525,8.522452400774664,-23.484646291316455,5.810187951866243,-1.7293385256941252,-3.6433595122854374
30.752989210375617,125.66529621698288,170.9520971488472,49.818368729295294,105.56321801946139,42.518059983546244,42.146539857137576,20.228808622036542
54.92981107897618,255.7379360563994,366.1574086410331,85.76671825076596,216.80820167542774,71.70866490057375,80.28731458582631,41.397486759662264
71.07600570986209,339.86748137707895,493.2030117316345,110.43013623421193,289.48903236539036,87.7585850288189,105.75609168152657,56.311638320820805
79.32162029801688,375.4685087155922,546.5470260480176,123.48784240209272,320.61730281608567,90.87729033267486,117.78539802646996,64.43291351925609
82.1931841744738,377.86266140206993,548.826350817115,128.01651483623817,322.69981208433677,85.77417889523699,120.13687345680809,67.16386361103136
81.26212327203947,365.6952017595431,530.4842692937851,125.92081149173818,311.9568570747376,77.64919871334567,116.48010605653408,65.51915853311914
74.94040250914597,346.12778449923803,506.90427852494577,114.95504952668179,295.7232668377211,68.46474630828321,106.57461622340466,58.58924869688014
