FZ,C3,CZ,C4,PZ,PO7,OZ,PO8
-9.53299150620719,-87.97319177963658,-153.63177749356024,-11.711733710321806,-81.76242258903952,-9.421886568904156,-20.399869885020507,-5.010925022778514
-47.625353103209584,-107.58231695150941,-115.84271055854488,-65.34197812224667,-80.33955839238129,-30.454823757618403,-58.08343322435593,-43.51385809303024
-77.4364808172552,-127.08998784304453,-93.76749762587332,-107.60243380880024,-83.0658046781757,-47.276180581890074,-88.03436641473769,-73.20714177214646
-93.84968154846189,-144.94049263984513,-94.25012349652923,-131.4545913480668,-90.96260383356203,-57.023559766647054,-105.22184077056893,-88.65879653977035
-96.48475940900823,-157.9457124372736,-111.95360222509314,-136.32047190253118,-100.96709887597686,-59.044369489665286,-108.80552743231833,-89.53151294987283
-88.95113977735431,-161.9513902921735,-132.16727083730242,-127.01147302613327,-107.12019735246795,-54.84368795738811,-101.67113104857769,-79.88872761850223
-76.48680085998116,-152.74046841480344,-137.1105416528103,-110.47223957634762,-102.81824611201073,-47.146978877615034,-88.44903186382071,-65.75553175644072
-63.68669052019193,-127.7199138973916,-113.3885065829146,-92.74547766212785,-83.60568201675045,-38.73317502904951,-73.5146050553597,-52.56393912361407
-53.72137874816818,-89.45070043250219,-59.94619496366336,-78.09535531681247,-50.75710405178102,-31.873062397013197,-60.40995547740196,-43.891802833867416
-48.96849035890168,-49.80236228338774,5.4639503191939065,-70.08264360468434,-14.658288516866183,-28.568325867093087,-52.67424901742129,-41.65756635382588
-51.6772575076114,-30.42053888675053,46.643210490549336,-72.51864689694037,5.223288174453277,-30.896901865907335,-54.51759844830271,-46.773870590435024
-63.44867737905431,-55.71855466166178,20.96288128992241,-88.51027278073809,-13.319623293897601,-40.60759067550521,-69.78900467871722,-59.22115754417628
-83.75549400167718,-140.0300767959032,-99.45901187330915,-117.98090857150031,-83.93977302728301,-57.922637134628836,-99.4251864572966,-77.47952655467225
-108.96069969623169,-276.55890032178166,-308.86145287257017,-155.92648500593302,-201.85680122403727,-80.49619323254002,-139.367413806345,-98.18004364882712
-133.10882356300937,-436.45670394706667,-564.4643271095669,-193.42283897584304,-342.58742903467953,-103.63897574839926,-181.02846427743424,-116.80359243822015
-150.37952612221642,-580.3222497079101,-803.2627049103581,-221.31174418873843,-471.56185929026606,-122.0638126327513,-214.6331592792125,-129.36768395303483
-157.7542668930517,-676.0593673385852,-970.4832093500223,-234.40083281509806,-559.6956131951551,-132.24586024653863,-233.6080132728913,-134.144940456896
-156.20825556097287,-712.6250801247853,-1043.2596104309464,-233.5475588239175,-595.8769363656583,-133.9457223726477,-237.33660673068513,-132.29802224823356
-149.71852386945568,-701.9127550674222,-1036.210225445566,-224.41310539848104,-589.330495958742,-129.93921651744915,-230.64264892743157,-126.99992749108313
-142.82934690355464,-668.8205705532712,-987.4840515387723,-213.88465690861966,-561.4581512915084,-124.1951684137063,-220.5354652783739,-121.61893806579816
-138.3860857110466,-636.8090157954763,-935.8906472196348,-206.5675022640156,-533.237862567128,-119.75412526815133,-212.45954297109833,-118.13096961492509
-136.7257261936793,-617.8714955518984,-903.4849761942812,-203.36309016002838,-516.0285683225727,-117.60768327978,-208.295812078993,-116.64495645883156
-136.4441436358564,-611.3354823044416,-891.7701022300218,-202.43776076132838,-509.97491677016427,-116.99007831007253,-206.8264367601377,-116.0607907920552
-135.86423483830774,-609.602689981928,-889.6783039343763,-201.3538472221341,-508.697823782712,-116.50658031094396,-205.70245600078366,-115.17571101194595
-134.2115964553546,-605.711403260079,-885.5872323939083,-198.87374163843702,-505.90967315550284,-115.2298275973129,-203.41118974074598,-113.51255301560269
-132.03106000916662,-598.483736110475,-876.2497545573615,-195.67464515365998,-500.1408105573938,-113.26863155754337,-200.29414997219143,-111.55991642898101
-130.83709560037644,-593.3778038943598,-869.0861283961975,-193.90108078988084,-495.7772789469649,-111.72517398021637,-198.36640492841434,-110.45517275391636
-132.1227339827865,-598.7678534225734,-877.0698162497707,-195.72015629302572,-500.0704775469728,-112.05813724333092,-200.0018165063997,-111.22697192335045
-136.01427260877546,-618.7721692049261,-907.7590091202062,-201.31788005953217,-517.0110937704326,-114.95508688100405,-205.85488016859043,-113.82409526169008
-140.28082537134298,-646.09887792868,-951.6514792769141,-207.40576672423092,-540.9753464588596,-119.21331267987624,-213.0606049674395,-116.45693816621191
-140.6356404757265,-660.2765988004497,-978.2072730488129,-207.6416731864561,-554.7746672973391,-121.51983521746071,-215.22763709956075,-115.92029922265003
-132.67745071266455,-634.9397428183545,-945.844378880986,-195.49929121090412,-535.4838606634057,-117.73492639772117,-205.0434524146934,-109.09887612045499
