FZ,C3,CZ,C4,PZ,PO7,OZ,PO8
-6.856100145599539,-77.00855720417249,-58.51525386653441,-4.3196246329479875,-38.56842039651979,-17.881472735937137,-17.54598205221403,-5.723088277157332
-21.287783329756177,-117.45100131146832,-98.80671736875689,-20.618375591088142,-60.240094626425346,-28.63819224147462,-33.37149105829833,-16.182618748547025
-32.8312423107749,-149.92033919573436,-131.89559582224155,-33.56562411937449,-78.04252275159097,-37.70333822078618,-46.534060963548015,-24.303534974178255
-39.70689105640418,-170.0601115238461,-153.7418273024575,-41.061996553461086,-89.82098606027193,-44.063675007403205,-55.37375582233171,-28.679134551641766
-41.757680897039634,-178.74382447943873,-164.78573407318393,-42.84701202031257,-95.86102186846172,-47.686361777451154,-59.700925179662455,-29.29536170706708
-40.1568900954513,-180.5374053574044,-168.5627692652539,-40.231269802426496,-98.11439464309855,-49.246435741393206,-60.48486168920171,-27.334175657639605
-36.64049442248002,-179.8439614652552,-168.59601382374862,-35.355180383346706,-98.42269418537164,-49.47741817002435,-59.04334868993447,-24.53536030868933
-32.819803199502076,-177.3910326662198,-165.85119433270415,-30.508433805673647,-97.03311438566372,-48.63636961854923,-56.33520805524349,-22.518462561836476
-29.912246758596734,-169.82175613837816,-158.70742633797076,-27.73832420748634,-92.60150231364044,-46.515029722280815,-52.83117000499255,-22.36186824595028
-28.79416608641287,-152.9024065902716,-145.40058170295268,-28.58782023483427,-83.73594271648408,-42.97914615618584,-48.92018739325491,-24.481584357759893
-30.042076391221617,-125.92595873259657,-126.84363940063665,-33.74789995518806,-70.84255697966677,-38.547255160858654,-45.34705751346206,-28.68243872464036
-33.77713140992684,-93.85169540690718,-107.43704344561394,-42.695978780155414,-56.75008402104489,-34.468442619638225,-43.1926289660465,-34.270521768442954
-39.45329333736025,-65.47913530044461,-93.15849332772346,-53.653692564802554,-45.55974382076712,-32.17655944902132,-43.35960410714024,-40.220733276987396
-45.8769428064337,-48.920076277332136,-88.32767879645716,-64.10653633990147,-40.51517152166077,-32.50115309091437,-45.97464100106879,-45.433616101639394
-51.58259871890746,-47.41259048827279,-93.28506776843462,-71.74189975259867,-42.326615394147154,-35.18610082719649,-50.18353081927175,-49.0496442765894
-55.396176954856664,-58.00387953310516,-104.38484460801276,-75.33045097583212,-48.95050817776781,-39.019957605224256,-54.50488564634379,-50.703330817762776
-56.86151003815971,-73.51383882301963,-116.04280516714616,-75.0842542694026,-56.78432472480024,-42.45454817289563,-57.5095129002392,-50.59489539658636
-56.30141299488144,-86.13913120722289,-123.35426597222406,-72.35726578481344,-62.38106077395419,-44.30021267964415,-58.403160972166,-49.35016882251432
-54.5362613910432,-90.48418831015327,-123.78859943183984,-68.9415977419449,-63.68487694246748,-44.11984520362295,-57.21812779374154,-47.757248659238904
-52.48866491158885,-84.88963164204564,-117.49856953552847,-66.37232202367562,-60.40257757979952,-42.23135647670044,-54.633324524665646,-46.51681509906485
-50.91001551380619,-71.43785560466615,-106.83427278506569,-65.51215654142604,-53.822535114226305,-39.49679955187512,-51.6655080137966,-46.087807708382925
-50.29218580179038,-55.45035079870913,-95.76210418741955,-66.42707353331869,-46.51177894153619,-37.0893816178388,-49.421908315447425,-46.61239524599433
-50.85203194394987,-44.48214184975569,-89.15580390780678,-68.43358674648212,-41.8690747784422,-36.23521657432834,-48.8814339188954,-47.86593369528566
-52.46535139300316,-46.126426350334555,-91.41960096283634,-70.2663550894034,-43.17106109208402,-37.81247104062494,-50.57236268797981,-49.23551481220298
-54.57081300918495,-64.6164477467822,-104.42013359603403,-70.41947793981224,-52.08122758752276,-41.84433586505233,-54.18424667025264,-49.80885901042168
-56.19156280653924,-97.79164900419758,-125.78165615456355,-67.67072570435896,-67.33495490769909,-47.190230329071255,-58.400420790404475,-48.642506447915196
-56.18643865007293,-136.7209692033479,-148.99470857039935,-61.616630249071925,-84.63642539164532,-51.78679136249544,-61.245042309045566,-45.15306514639668
-53.670547573739576,-169.0317002593233,-165.8580843002688,-52.92337467620064,-98.21873391845973,-53.48043626060017,-60.91880605824598,-39.439822934938924
