FZ,C3,CZ,C4,PZ,PO7,OZ,PO8
-2.7146225738260905,-45.866188461219515,-29.324670354181222,1.2068109666581945,-22.94815765582893,-8.552606210941867,-8.789789363992764,-0.18680315357861585
-13.434122594349914,-5.781675124683577,-12.946440201035006,-17.53294377425707,-8.64412296444526,-10.156919710891666,-12.00075338663627,-10.018803258427212
-21.73405216213521,29.65254074777216,2.8450963861294887,-32.26243944681658,4.255290712943463,-11.334449054823528,-13.811623377417263,-17.646071824369944
-26.18497553655834,57.61341305226249,17.518290004217796,-40.64794396773123,14.975104643607526,-11.684855905351657,-13.453384821008914,-21.74962720827765
-26.904275652791103,76.44407749451938,29.61238815783588,-42.7905318219368,22.91816870114001,-11.180101758001076,-11.356217127540386,-22.346803950410436
-25.408231965055162,83.12112438113589,35.39736476012245,-40.72402832462852,26.47071688659002,-10.635971223688651,-9.334374219278013,-20.602494895824105
-23.800039974300088,72.08855059137562,29.108662526303274,-37.0606208984379,22.57730664788259,-11.72143116322396,-9.99631817883443,-18.12670586086449
-23.711088610740926,37.870817238263456,5.763029933225639,-33.664728365946914,8.153540001730459,-16.1792500840854,-15.438468518794792,-16.17315279207627
-25.579032812715873,-19.82711704264353,-34.90410000992014,-31.093440174396818,-17.356597143997288,-24.652694928265458,-25.925976279463736,-15.182191193685492
-28.636199869033316,-92.70743066699875,-86.38554861892395,-28.932841194795866,-50.29929914263641,-35.97741726619743,-39.45986631249339,-14.853140972602622
-31.530757344446762,-165.5202610522425,-137.22829674050973,-26.57539073544764,-83.59079894686724,-47.53327818619425,-52.607063992001876,-14.585030988489565
-33.14193807425009,-222.33866062556388,-175.96186171411247,-23.829526358042102,-109.72264854928363,-56.48585344423828,-62.124371066132916,-13.943818852933335
-33.10982940702081,-253.5908036781239,-196.1397952588736,-21.032908158590295,-124.12470148717412,-61.12769293113294,-66.40237324677489,-12.885782773444541
-31.85176028793167,-259.5486035587399,-198.52793504935534,-18.749915954410543,-126.84011027179261,-61.514373939509994,-65.93559948342057,-11.68176646469376
-30.174299072799514,-248.59894864408108,-189.5175519591538,-17.371497725071453,-121.72748380011579,-59.124471861561794,-62.69952079349001,-10.675537239450431
-28.79394555644654,-232.04453018175963,-177.23680200870152,-16.903772551382986,-114.0257206944139,-55.909183514929566,-58.97094823962067,-10.067987093839006
-28.049528084827376,-218.88864838005998,-167.88033671079205,-17.027983193242736,-107.91386385216283,-53.379030722085226,-56.33221453398494,-9.846009252626196
-27.892313393728298,-213.1987089919019,-164.00934787352313,-17.317395802747598,-105.28062208457912,-52.17601727834639,-55.298275517320334,-9.848808437583846
-28.050883575713847,-214.41948595472454,-164.9468118521939,-17.437877176034693,-105.86830778581673,-52.159028142964715,-55.523214363049526,-9.883493105391892
-28.21790700652535,-219.35371135686142,-168.27523830581393,-17.23696704851171,-108.18871681561133,-52.75385698164763,-56.26290229391504,-9.809898409974723
-28.176031377409053,-224.34252180987488,-171.39333799936523,-16.733227315082097,-110.53347541784649,-53.32128585809909,-56.80458448503878,-9.572531767760253
-27.855590045188187,-226.85342838858756,-172.60251658185206,-16.0581129746971,-111.71703636099947,-53.427245389982055,-56.739658681806105,-9.196427247792291
-27.331435153452542,-226.21355555667472,-171.56298433914043,-15.381249773025608,-111.42621656356567,-52.9726150721099,-56.05259440508878,-8.761100437385986
-26.758432983040713,-223.39728514860744,-169.07455998846086,-14.833080588277195,-110.12267314617542,-52.151696256270796,-55.02295208206091,-8.356272410324234
-26.271278413321436,-220.0425050521173,-166.33446213505434,-14.452637780732577,-108.57624095820806,-51.264200140857184,-53.995606306967986,-8.034108013171698
