FZ,C3,CZ,C4,PZ,PO7,OZ,PO8
-31.291003210873562,-26.180258502048602,-39.743991031375245,-37.20734354064955,-21.51332603809788,-24.189215290961137,-29.204778297476707,-26.880149394401784
-33.51103210483347,-26.492358863118778,-38.231304422288254,-36.902640175458565,-20.368657168319,-21.681281333944156,-24.898241905377233,-24.08427165743847
-35.45604231653319,-27.443428822523813,-36.78533308592968,-36.49639995275116,-20.02718088669145,-20.60695895290905,-22.213000365361243,-21.843388551696787
-36.865523227703044,-28.842750285822813,-35.48903940315996,-36.00280663707469,-20.64749527757742,-21.56325014330071,-22.118010649009225,-21.01897676195117
-37.67597395549683,-30.370849177432024,-34.64315653526218,-35.48700964179474,-22.105521972906722,-24.03491008510133,-24.562964330269256,-22.027155289130814
-37.9444318333143,-31.393570419164384,-34.40545158024435,-35.0321722433027,-23.87430921414453,-26.577883892773855,-28.442035605242598,-24.60075414901656
-37.74157245345671,-30.883228436326718,-34.40243590196997,-34.71202935729417,-25.02277357109752,-27.554823484319304,-32.10788606197202,-27.877478314568616
-37.12053037133331,-28.004505200809586,-33.896651343039,-34.58711555282367,-24.631073094881142,-26.084701966688915,-34.241522045090186,-30.787544510410168
-36.161290021617404,-23.10808115190863,-32.494364373103956,-34.69274684633736,-22.482053341747065,-22.654582904822977,-34.57798010481745,-32.52491056721795
-35.01840215129771,-18.139803909964044,-30.722893479196905,-35.006457978531415,-19.451819603426465,-18.954718222409003,-33.99614094823283,-32.84754889187798
-33.919749248518286,-15.805552564531636,-29.863751191419848,-35.43166411289427,-17.15347852377355,-16.96461987660482,-33.887400765328046,-32.07570406058343
-33.113508174662975,-17.909713834351408,-31.0903086202373,-35.82678454260792,-16.98337018924377,-17.818541734166885,-35.209898959557925,-30.83060769521038
-32.7771909922283,-23.94582634545717,-34.48829335315824,-36.05106915883178,-19.167536512589116,-21.116357403283136,-37.808338332881135,-29.66983890479845
-32.91157145687814,-30.749563188429736,-38.53774508724613,-35.98089255006353,-22.35556724610555,-25.039664429079185,-40.35463799977191,-28.802146127736002
-33.28573245373263,-33.425633350700735,-40.39010154408547,-35.50911835347807,-23.99185542248037,-27.175941906727044,-40.91074894066711,-28.024076625222442
-33.532663351137714,-27.469067555780192,-37.105113325955564,-34.59101187206875,-21.45442083851042,-25.670596782750987,-37.88974870049653,-26.921060382451447
-33.422818694191214,-11.750085184257893,-27.72222296689709,-33.349835726123516,-13.73594647743394,-20.266736861393635,-31.08611091022065,-25.230102838730133
-33.168857300170004,8.756984080902722,-15.331179029130572,-32.14141866326719,-3.014494333600672,-12.81288787208652,-22.337520612840443,-23.139469887253753
-33.49409445001095,22.552432172802927,-7.569819135457862,-31.44342197437045,4.991605017919574,-6.886696204937463,-15.327291326912114,-21.30278950255299
-35.29455190446325,15.257261500506415,-14.203688278085897,-31.560354408474943,2.8184341814221,-6.442447530060577,-14.274414872853992,-20.505356267979877
-39.01799351295499,-23.162944700882015,-42.09701677329934,-32.32357585935529,-15.024117250422798,-13.896494078056199,-21.864813085424544,-21.152768258497925
-44.14730483044737,-91.06963950678818,-90.04770858967281,-33.03272096890351,-48.18130220203687,-28.55602782457643,-37.42472955379497,-22.8992911671822
-49.17697085111533,-172.45467233662416,-146.8725691779419,-32.74519549129171,-88.8964707767812,-46.34879743708424,-56.485396146981785,-24.68024292451785
-52.18158661018975,-241.65144796665294,-194.72410820035194,-30.77214966587884,-124.26457860765528,-61.23545554248247,-72.26856220897226,-25.17507595743478
-51.69523844569079,-273.9629133060752,-216.55539588856362,-27.07839522884494,-141.5929697729967,-67.75666152318577,-78.53659429335904,-23.455125894151877
-47.4164339937746,-256.9086669440013,-203.9351960289314,-22.337194271931594,-134.17007476727704,-63.45966254099585,-72.39178864212725,-19.44778704759348
-40.35773935063852,-196.06016306877854,-160.95916760772926,-17.615550451679375,-104.33871726829037,-49.93788494007117,-55.559667304926364,-13.961999014230951
-32.38872974927132,-112.35722223053125,-102.18476600759936,-13.8904540064012,-62.26902699482013,-31.943213950084647,-33.50226839513463,-8.28627166709359
-25.4539087103938,-32.519536966975465,-45.89294582841063,-11.671163750866091,-21.234369016857027,-15.070872629216682,-12.87718485591038,-3.608556189335503
-20.887471102260864,22.26342513339251,-6.38454064953339,-10.909229010126527,8.016869765093224,-3.2634529064551425,1.3070528656950255,-0.5754647798533254
-19.136195072446448,43.745940025874916,10.868423692521867,-11.20232586013637,21.003843077180044,2.5799569924484205,7.42938592304467,0.8100447003936819
-19.92744441259618,37.14846958003085,9.349553897994808,-12.136580116088885,19.882962698734445,4.273282014339766,7.171993201185703,0.9675826825019543
-22.655500618937065,15.717557173503398,-2.2814944704300277,-13.539860804286505,10.872611117785658,4.666221666250085,3.922701669694242,0.3884516800391492
-26.677419070481587,-6.8297309317002135,-15.203685649444322,-15.486230602551359,0.5878007402780902,5.727136244145752,0.7388057694353731,-0.6128054219464477
-31.360859772735786,-21.80906112752281,-23.944045543134965,-18.073783503852223,-6.6776513381272595,7.518009425819362,-0.9881584027330215,-1.9290917772325198
-35.97853797031619,-27.00782944885773,-27.166822975350588,-21.164418365312507,-9.709214816764582,8.519482775110347,-1.6419770780818752,-3.5346403950937897
-39.67567790034492,-24.856974821508008,-26.389942706758294,-24.288038597853276,-9.53248800240186,6.8926250490984415,-2.5409556617031224,-5.357457674653311
-41.64158586635005,-19.53796948048974,-24.130553123119526,-26.771765609078518,-8.046551749902392,1.7973217873856644,-4.846057649377807,-7.25344670143358
-41.40499023147984,-14.703274611649462,-22.531296337402065,-27.992053926113538,-6.943431549852908,-5.961509186229409,-8.805809457351861,-9.056228313709969
-39.05168602924183,-12.240290801408124,-22.631550643949176,-27.595036745717895,-7.096080968897836,-14.184143981541384,-13.562641371845821,-10.602185781016136
-35.223111645998145,-11.903800827637335,-24.085958007180118,-25.59391080733077,-8.308697169311229,-20.187482773172405,-17.47151326902649,-11.675083075113838
-30.905520233839027,-11.771870972891799,-25.344240280798815,-22.342068403527485,-9.44696972220882,-21.918437510879365,-18.7681602805755,-11.924764451741334
-27.12142309835608,-9.493320479344096,-24.422737183268318,-18.427578406251275,-9.02923154468589,-18.7943777834807,-16.34838646054628,-10.88190679104837
-24.6447346361545,-3.8147145846172443,-20.052560780523986,-14.540143853731454,-6.095139755195835,-11.93118020406539,-10.34493168144032,-8.152230743853424
-23.82657322130422,4.485708502304672,-12.582966795249336,-11.349790868139037,-0.8756506028951263,-3.687256950495664,-2.229352337844827,-3.748694566013481
-24.5750796892114,12.758088707448264,-4.095989827923799,-9.408266899381077,5.129762377560267,3.233856479910838,5.621350488281883,1.6171556213437017
-26.46793800579732,17.49383310135667,2.3264135482807284,-9.044759269197344,9.679874188481888,6.711267774919966,10.71443097705772,6.526373879375784
-28.901789715803016,15.69136296296268,3.885068694146135,-10.221646801855972,10.679452209217137,5.851931182134662,11.32339308106619,9.284384802677062
-31.170538647501907,6.391819497859971,-0.4252075209402101,-12.384923318768617,7.217351897788145,1.2769106603319327,7.245268719074271,8.708339805697221
-32.463402353751235,-7.740996598899465,-8.459421010554777,-14.446340085819035,0.5463344093028835,-4.9150643119595525,0.2193924871268254,4.890602708245423
-31.908998752154954,-19.6074895321412,-14.465197821979316,-15.050201647078943,-5.48131017990948,-9.558847170222867,-6.282371193752877,-0.5671492856155302
-28.808721865281875,-19.02412209689431,-10.454649747349398,-13.126425347446814,-5.223690741939505,-9.325211654580908,-8.116916990392383,-5.135246375709742
-23.03411329635905,3.1724627595934383,10.400553064440443,-8.485824167051604,6.448873468393002,-2.015382758302242,-2.193463117358194,-6.540866220338148
-15.336320429693917,49.8515245713786,49.72729304820077,-2.0744827477167003,31.243587089935204,12.270697865972988,11.906429422305575,-3.902683641828313
-7.259714045519579,114.44330781517533,101.78983497464851,4.36427591252091,65.71325668433764,30.82324034652714,31.40160532387623,1.866664380459742
-0.5759873594047972,182.58456037326937,155.12741629934098,9.104885828714444,102.15121127544126,49.2639290454364,51.376432979392625,8.622972712721145
3.4845591808382057,238.25747303729227,197.56487224259493,11.263038937044472,131.94869903338395,63.3819116242531,66.96728084477,14.13685755630219
4.733158787025813,271.0002310603524,221.75831292049224,11.113513175106663,149.52082720879346,70.888069764546,75.45363698469124,17.113303742162092
3.947468755375717,279.9449249587235,227.94322594939973,9.733740670285501,154.46019830548286,72.12927004110615,77.10486856807542,17.546697607426477
2.323011411342524,272.60718737733345,222.4974687223208,8.287853886158848,150.81724895498294,69.4690718262518,74.4713814325496,16.372059400996744
0.8598916286992521,259.8226398884379,213.77463982524057,7.476494426772352,144.34397017978884,65.85557041227962,70.76996938589807,14.790953553109413
0.04833898747605689,250.3328350136908,208.10747345290585,7.442236835960294,139.63879254711014,63.47167795886942,68.39801547188553,13.7110266667356
-0.08895687676088845,247.90617794806568,207.99915867345803,8.000395494621229,138.68891580879927,63.10374637263836,68.25474396250986,13.506166685474373
0.21350481207586383,251.56713283229934,212.5391864421253,8.879149787959928,141.01367573047864,64.29379203901081,69.89483516224999,14.056736775826144
0.6564725741961012,257.6856374110174,218.91499973918286,9.81489336350973,144.71442613091756,65.94328030247537,72.1461567475585,14.946350364633245
1.003960974658071,262.44687554886883,224.1019331997059,10.57930206128592,147.7246857338861,66.9988793865167,73.82827421387505,15.719511973246608
1.1611322915193092,263.84560629209847,226.37399200588754,11.030976964744507,148.8902816705966,66.984808183706,74.34362183383297,16.111585875261
1.1709638449826745,262.6738372488897,226.24001250573798,11.147976496797876,148.57416228669837,66.22500948019821,73.95293341502382,16.143627217793682
