Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
14781.7188334,294056.875,295438.125,330180.15625,324189.1875,285349.34375,256119.0,222705.109375,246264.828125,0.0478515625,0.98974609375,0.068603515625,0.3662109076976776,-1.5869139432907104,-0.9155272841453552,80.0,162353.0,1.0
14781.7188349,294015.84375,295284.625,330010.46875,324145.71875,285254.59375,256078.140625,222653.0625,246238.09375,0.04833984375,0.988525390625,0.0693359375,0.3051757514476776,-1.5563963651657104,-0.7934569716453552,80.0,162354.0,1.0
14781.7188441,294000.03125,294983.21875,329802.40625,324160.21875,285121.28125,256030.75,222609.078125,246240.234375,0.0478515625,0.989501953125,0.068359375,0.3051757514476776,-1.6174315214157104,-0.7324218153953552,80.0,162355.0,1.0
14781.7188456,294038.09375,294968.21875,329856.59375,324218.78125,285142.03125,256040.140625,222638.671875,246265.1875,0.048583984375,0.990966796875,0.0693359375,0.2441406100988388,-1.5563963651657104,-0.7934569716453552,80.0,162356.0,1.0
14781.7188469,294066.0,295253.3125,330090.3125,324229.40625,285284.1875,256084.3125,222692.765625,246273.140625,0.047607421875,0.991455078125,0.070556640625,0.2746581733226776,-1.5563963651657104,-0.7629393935203552,80.0,162357.0,1.0
14781.768485,294053.21875,295445.625,330172.28125,324182.5625,285352.03125,256114.25,222704.921875,246259.375,0.046630859375,0.989501953125,0.068359375,0.2441406100988388,-1.4953612089157104,-0.6713866591453552,80.0,162358.0,1.0
14781.7684967,294012.28125,295285.59375,329996.78125,324140.8125,285255.375,256068.390625,222654.40625,246238.265625,0.049072265625,0.98974609375,0.07177734375,0.2136230319738388,-1.4953612089157104,-0.7324218153953552,80.0,162359.0,1.0
14781.8462737,294003.15625,294994.3125,329801.78125,324163.875,285132.46875,256026.109375,222618.828125,246241.3125,0.050537109375,0.989013671875,0.07177734375,0.1525878757238388,-1.4648436307907104,-0.6713866591453552,80.0,162360.0,1.0
14781.8462837,294038.03125,294968.65625,329859.0,324223.5,285153.09375,256035.21875,222638.859375,246269.03125,0.0498046875,0.98876953125,0.069091796875,0.0610351525247097,-1.3122557401657104,-0.7019042372703552,80.0,162361.0,1.0
14781.8462934,294065.8125,295245.46875,330090.3125,324233.53125,285288.46875,256076.890625,222685.34375,246271.890625,0.049560546875,0.987548828125,0.069091796875,0.0,-1.1901854276657104,-0.6103515028953552,80.0,162362.0,1.0
14781.846295,294050.71875,295443.40625,330173.46875,324182.9375,285350.96875,256089.765625,222690.703125,246253.296875,0.048583984375,0.987548828125,0.0693359375,-0.0610351525247097,-1.1901854276657104,-0.6408690810203552,80.0,162363.0,1.0
14781.8462964,294010.75,295281.125,329998.03125,324141.96875,285255.46875,256049.4375,222645.828125,246237.5625,0.048828125,0.987548828125,0.070556640625,0.03051757626235485,-1.1901854276657104,-0.7629393935203552,80.0,162364.0,1.0
