Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
14792.8119171,294135.46875,295230.4375,329754.6875,323850.59375,285266.46875,256071.78125,222633.578125,246261.515625,0.04541015625,0.99072265625,0.071533203125,0.7629393935203552,-1.4648436307907104,-1.0681151151657104,80.0,165136.0,1.0
14792.8162745,294128.125,295447.0625,329861.96875,323814.03125,285348.90625,256111.75,222654.953125,246246.140625,0.043701171875,0.98779296875,0.068115234375,0.7629393935203552,-1.4343260526657104,-1.0070799589157104,80.0,165137.0,1.0
14792.8162798,294091.40625,295295.875,329716.40625,323779.53125,285269.25,256076.609375,222609.796875,246226.03125,0.044921875,0.988525390625,0.0673828125,0.7629393935203552,-1.5869139432907104,-1.0375975370407104,80.0,165138.0,1.0
14792.8182032,294073.59375,294973.5625,329497.625,323792.75,285123.6875,256022.53125,222560.4375,246227.28125,0.044921875,0.98974609375,0.067626953125,0.7629393935203552,-1.5869139432907104,-0.9460448622703552,80.0,165139.0,1.0
14792.820642,294105.25,294938.875,329523.90625,323843.09375,285130.3125,256039.953125,222587.984375,246255.34375,0.043701171875,0.98974609375,0.065185546875,0.7934569716453552,-1.6174315214157104,-0.9765624403953552,80.0,165140.0,1.0
14792.8231685,294139.03125,295235.96875,329762.46875,323860.15625,285280.5,256101.203125,222653.421875,246270.375,0.04443359375,0.98974609375,0.06640625,0.6713866591453552,-1.7089842557907104,-1.0375975370407104,80.0,165141.0,1.0
14792.8256181,294126.1875,295447.53125,329868.40625,323816.96875,285358.9375,256118.453125,222662.359375,246249.890625,0.042236328125,0.990966796875,0.0693359375,0.6713866591453552,-1.8310545682907104,-0.9460448622703552,80.0,165142.0,1.0
14792.8281717,294087.625,295296.40625,329719.0,323780.5,285274.25,256078.578125,222615.421875,246230.046875,0.04248046875,0.992431640625,0.072509765625,0.6408690810203552,-1.8310545682907104,-1.0070799589157104,80.0,165143.0,1.0
14792.8532256,294068.3125,294970.09375,329491.09375,323787.75,285121.375,256008.484375,222550.703125,246224.859375,0.04638671875,0.99169921875,0.06982421875,0.4882812201976776,-1.8005369901657104,-1.0681151151657104,80.0,165144.0,1.0
14792.8795702,294104.8125,294940.5,329522.03125,323838.875,285127.28125,256013.046875,222568.9375,246253.65625,0.046630859375,0.990234375,0.06787109375,0.3662109076976776,-1.7395018339157104,-1.0070799589157104,80.0,165145.0,1.0
14792.8795796,294140.5625,295242.25,329760.9375,323856.6875,285278.71875,256086.453125,222639.390625,246272.0625,0.04638671875,0.98974609375,0.069580078125,0.3051757514476776,-1.8310545682907104,-0.9765624403953552,80.0,165146.0,1.0
14792.879581,294130.65625,295449.5,329866.25,323812.59375,285355.09375,256107.640625,222646.90625,246243.28125,0.0478515625,0.990234375,0.068359375,0.3356933295726776,-1.7089842557907104,-1.0070799589157104,80.0,165147.0,1.0
14792.8795822,294094.0,295285.5,329707.90625,323777.09375,285263.25,256063.921875,222596.921875,246228.53125,0.046875,0.990234375,0.068359375,0.3356933295726776,-1.7700194120407104,-0.9460448622703552,80.0,165148.0,1.0
14792.8795835,294073.6875,294970.1875,329490.9375,323788.625,285118.40625,256007.140625,222549.453125,246232.734375,0.04736328125,0.9892578125,0.07177734375,0.3662109076976776,-1.7089842557907104,-0.9155272841453552,80.0,165149.0,1.0
14792.9062175,294104.625,294939.59375,329523.375,323838.09375,285126.71875,256026.375,222573.859375,246249.625,0.046875,0.989013671875,0.072021484375,0.3051757514476776,-1.7089842557907104,-0.9155272841453552,80.0,165150.0,1.0
14792.906224,294133.40625,295234.8125,329756.09375,323848.4375,285270.9375,256088.953125,222631.34375,246254.453125,0.047607421875,0.98681640625,0.06982421875,0.3662109076976776,-1.6479490995407104,-0.8544921278953552,80.0,165151.0,1.0
14792.9062255,294119.375,295445.28125,329867.34375,323801.78125,285352.9375,256103.625,222639.125,246235.046875,0.048095703125,0.9853515625,0.0693359375,0.3662109076976776,-1.6479490995407104,-0.8850097060203552,80.0,165152.0,1.0
14792.9062283,294119.375,295445.28125,329867.34375,323801.78125,285352.9375,256103.625,222639.125,246235.046875,0.048095703125,0.9853515625,0.0693359375,0.3662109076976776,-1.6479490995407104,-0.8850097060203552,80.0,165153.0,0.0
14792.9062285,294119.375,295445.28125,329867.34375,323801.78125,285352.9375,256103.625,222639.125,246235.046875,0.048095703125,0.9853515625,0.0693359375,0.3662109076976776,-1.6479490995407104,-0.8850097060203552,80.0,165154.0,0.0
