Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
14749.4495086,293662.96875,295058.59375,330768.5625,325200.71875,285089.4375,256019.84375,222295.625,245950.46875,0.07177734375,1.0126953125,0.0732421875,-4.119872570037842,-8.392333030700684,-2.471923589706421,80.0,154296.0,1.0
14749.4744364,293645.0625,295301.6875,330900.25,325152.71875,285184.3125,256057.03125,222321.90625,245938.578125,0.074462890625,1.01513671875,0.074951171875,-4.638671398162842,-8.422850608825684,-2.746581792831421,80.0,154297.0,1.0
14749.4995214,293610.84375,295248.59375,330788.40625,325118.65625,285137.46875,256038.171875,222290.703125,245915.609375,0.075439453125,1.01708984375,0.080078125,-5.218505382537842,-8.270262718200684,-2.868652105331421,80.0,154298.0,1.0
14749.5019338,293593.84375,294960.15625,330580.15625,325107.84375,285008.34375,255986.21875,222246.171875,245914.34375,0.080078125,1.016357421875,0.08544921875,-5.767821788787842,-8.209227561950684,-2.807616949081421,80.0,154299.0,1.0
14749.5044084,293623.71875,294832.65625,330549.15625,325173.65625,284972.6875,255973.0,222248.59375,245937.953125,0.085693359375,1.014404296875,0.095703125,-6.408690929412842,-8.026122093200684,-2.777099370956421,80.0,154300.0,1.0
14749.5119521,293662.875,295065.65625,330766.75,325204.84375,285101.4375,256032.890625,222309.5625,245959.859375,0.083984375,1.009033203125,0.097412109375,-7.110595226287842,-7.629394054412842,-2.624511480331421,80.0,154301.0,1.0
14749.5187285,293655.34375,295314.84375,330908.03125,325166.9375,285204.15625,256076.171875,222339.25,245941.984375,0.083984375,1.0048828125,0.097900390625,-7.629394054412842,-7.171630382537842,-2.532958745956421,80.0,154302.0,1.0
14749.5187312,293605.1875,295251.1875,330788.65625,325101.59375,285143.09375,256036.390625,222291.234375,245908.359375,0.0830078125,0.998291015625,0.09814453125,-8.026122093200684,-6.805419445037842,-2.441406011581421,80.0,154303.0,1.0
14749.5187325,293590.28125,294963.1875,330583.5625,325108.03125,285013.53125,255983.015625,222238.75,245909.609375,0.078125,0.992431640625,0.1005859375,-8.148192405700684,-6.530761241912842,-2.593993902206421,80.0,154304.0,1.0
14749.5187338,293620.75,294832.5625,330549.5,325161.21875,284972.40625,255964.953125,222241.265625,245923.734375,0.0732421875,0.984130859375,0.10107421875,-8.117674827575684,-6.347655773162842,-2.777099370956421,80.0,154305.0,1.0
14749.5187351,293667.4375,295066.5625,330763.0,325200.5625,285099.1875,256024.40625,222298.296875,245937.421875,0.0703125,0.97607421875,0.103759765625,-7.995604991912842,-6.317138195037842,-3.051757574081421,80.0,154306.0,1.0
14749.5187363,293662.25,295320.5625,330908.03125,325170.4375,285207.375,256071.703125,222331.828125,245938.40625,0.068603515625,0.9677734375,0.10400390625,-7.690429210662842,-6.317138195037842,-3.204345464706421,80.0,154307.0,1.0
14749.5428815,293621.5625,295264.3125,330788.125,325120.53125,285155.15625,256049.796875,222299.90625,245918.203125,0.066650390625,0.958984375,0.1142578125,-7.263183116912842,-6.286620616912842,-3.295898199081421,80.0,154308.0,1.0
14749.5681994,293621.5625,295264.3125,330788.125,325120.53125,285155.15625,256049.796875,222299.90625,245918.203125,0.066650390625,0.958984375,0.1142578125,-7.263183116912842,-6.286620616912842,-3.295898199081421,80.0,154309.0,0.0
14749.5682006,293621.5625,295264.3125,330788.125,325120.53125,285155.15625,256049.796875,222299.90625,245918.203125,0.066650390625,0.958984375,0.1142578125,-7.263183116912842,-6.286620616912842,-3.295898199081421,80.0,154310.0,0.0
14749.5682008,293621.5625,295264.3125,330788.125,325120.53125,285155.15625,256049.796875,222299.90625,245918.203125,0.066650390625,0.958984375,0.1142578125,-7.263183116912842,-6.286620616912842,-3.295898199081421,80.0,154311.0,0.0
14749.568201,293621.5625,295264.3125,330788.125,325120.53125,285155.15625,256049.796875,222299.90625,245918.203125,0.066650390625,0.958984375,0.1142578125,-7.263183116912842,-6.286620616912842,-3.295898199081421,80.0,154312.0,0.0
14749.5682012,293621.5625,295264.3125,330788.125,325120.53125,285155.15625,256049.796875,222299.90625,245918.203125,0.066650390625,0.958984375,0.1142578125,-7.263183116912842,-6.286620616912842,-3.295898199081421,80.0,154313.0,0.0
14749.5682013,293621.5625,295264.3125,330788.125,325120.53125,285155.15625,256049.796875,222299.90625,245918.203125,0.066650390625,0.958984375,0.1142578125,-7.263183116912842,-6.286620616912842,-3.295898199081421,80.0,154314.0,0.0
14749.5682015,293621.5625,295264.3125,330788.125,325120.53125,285155.15625,256049.796875,222299.90625,245918.203125,0.066650390625,0.958984375,0.1142578125,-7.263183116912842,-6.286620616912842,-3.295898199081421,80.0,154315.0,0.0
14749.5682017,293621.5625,295264.3125,330788.125,325120.53125,285155.15625,256049.796875,222299.90625,245918.203125,0.066650390625,0.958984375,0.1142578125,-7.263183116912842,-6.286620616912842,-3.295898199081421,80.0,154316.0,0.0
14749.5682019,293621.5625,295264.3125,330788.125,325120.53125,285155.15625,256049.796875,222299.90625,245918.203125,0.066650390625,0.958984375,0.1142578125,-7.263183116912842,-6.286620616912842,-3.295898199081421,80.0,154317.0,0.0
14749.5682021,293621.5625,295264.3125,330788.125,325120.53125,285155.15625,256049.796875,222299.90625,245918.203125,0.066650390625,0.958984375,0.1142578125,-7.263183116912842,-6.286620616912842,-3.295898199081421,80.0,154318.0,0.0
14749.5682023,293621.5625,295264.3125,330788.125,325120.53125,285155.15625,256049.796875,222299.90625,245918.203125,0.066650390625,0.958984375,0.1142578125,-7.263183116912842,-6.286620616912842,-3.295898199081421,80.0,154319.0,0.0
14749.5682024,293621.5625,295264.3125,330788.125,325120.53125,285155.15625,256049.796875,222299.90625,245918.203125,0.066650390625,0.958984375,0.1142578125,-7.263183116912842,-6.286620616912842,-3.295898199081421,80.0,154320.0,0.0
14749.5682026,293621.5625,295264.3125,330788.125,325120.53125,285155.15625,256049.796875,222299.90625,245918.203125,0.066650390625,0.958984375,0.1142578125,-7.263183116912842,-6.286620616912842,-3.295898199081421,80.0,154321.0,0.0
14749.5682028,293621.5625,295264.3125,330788.125,325120.53125,285155.15625,256049.796875,222299.90625,245918.203125,0.066650390625,0.958984375,0.1142578125,-7.263183116912842,-6.286620616912842,-3.295898199081421,80.0,154322.0,0.0
14749.568203,293621.5625,295264.3125,330788.125,325120.53125,285155.15625,256049.796875,222299.90625,245918.203125,0.066650390625,0.958984375,0.1142578125,-7.263183116912842,-6.286620616912842,-3.295898199081421,80.0,154323.0,0.0
