Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
15184.658668,296251.1875,294534.5,321972.34375,314653.125,285078.1875,255295.46875,220363.890625,246249.453125,0.050048828125,0.99658203125,0.167724609375,0.3662109076976776,-1.0375975370407104,-0.7934569716453552,73.33333587646484,262979.0,1.0
15184.6586694,296462.5625,295370.1875,323120.15625,314957.65625,285755.8125,255490.546875,220651.328125,246405.546875,0.05078125,0.996826171875,0.168701171875,0.2441406100988388,-1.1596678495407104,-0.7934569716453552,73.33333587646484,262980.0,1.0
15184.6586708,296477.84375,295827.21875,323977.03125,314996.90625,286195.6875,255551.171875,220735.5625,246411.984375,0.051513671875,0.994873046875,0.1650390625,0.3051757514476776,-1.1901854276657104,-0.7629393935203552,73.33333587646484,262981.0,1.0
15184.658672,296278.28125,295287.21875,323369.6875,314722.6875,285800.875,255411.515625,220507.921875,246263.671875,0.05029296875,0.9931640625,0.16064453125,0.3356933295726776,-1.1901854276657104,-0.6408690810203552,73.33333587646484,262982.0,1.0
15184.6586732,296126.28125,294479.96875,322120.125,314505.875,285101.0625,255237.171875,220263.125,246155.921875,0.050537109375,0.9921875,0.161865234375,0.3051757514476776,-1.2817381620407104,-0.6713866591453552,73.33333587646484,262983.0,1.0
15184.6586744,296230.625,294519.65625,321950.96875,314645.4375,285067.90625,255282.234375,220348.609375,246242.5625,0.047607421875,0.992431640625,0.1630859375,0.4882812201976776,-1.2512205839157104,-0.7019042372703552,73.33333587646484,262984.0,1.0
15184.7363672,296454.875,295365.625,323107.90625,314964.0,285757.40625,255489.75,220659.03125,246413.328125,0.050048828125,0.991943359375,0.16650390625,0.5798339247703552,-1.1901854276657104,-0.7019042372703552,73.33333587646484,262985.0,1.0
15184.7363851,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,262986.0,1.0
15184.7363886,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,262987.0,0.0
15184.7363888,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,262988.0,0.0
15184.736389,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,262989.0,0.0
15184.7363893,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,262990.0,0.0
15184.7363895,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,262991.0,0.0
15184.7363897,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,262992.0,0.0
15184.7363899,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,262993.0,0.0
15184.7363901,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,262994.0,0.0
15184.7363903,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,262995.0,0.0
15184.7363904,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,262996.0,0.0
15184.7363906,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,262997.0,0.0
15184.7363908,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,262998.0,0.0
15184.7363909,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,262999.0,0.0
15184.7363911,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,263000.0,0.0
15184.7363913,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,263001.0,0.0
15184.7363915,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,263002.0,0.0
15184.7363917,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,263003.0,0.0
15184.7363919,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,263004.0,0.0
15184.736392,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,263005.0,0.0
15184.7363922,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,263006.0,0.0
15184.7363924,296479.625,295831.53125,323973.25,315011.28125,286203.46875,255561.625,220756.921875,246434.96875,0.0498046875,0.995361328125,0.1689453125,0.6713866591453552,-1.1596678495407104,-0.8544921278953552,73.33333587646484,263007.0,0.0
