Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
14826.1344318,294248.21875,295018.28125,328586.40625,322646.90625,285129.25,255884.84375,222199.0625,246245.875,0.046630859375,0.989501953125,0.0732421875,0.1220703050494194,-1.6479490995407104,-0.8544921278953552,73.33333587646484,173482.0,1.0
14826.1344331,294266.625,294845.53125,328516.21875,322693.21875,285071.125,255864.546875,222186.8125,246253.921875,0.04931640625,0.987060546875,0.0751953125,0.0610351525247097,-1.5258787870407104,-0.9460448622703552,73.33333587646484,173483.0,1.0
14826.1344343,294311.96875,295060.5625,328727.84375,322735.34375,285194.15625,255920.6875,222248.234375,246280.390625,0.048095703125,0.988037109375,0.07275390625,0.1525878757238388,-1.5869139432907104,-0.9765624403953552,73.33333587646484,173484.0,1.0
14826.1344355,294314.1875,295336.5625,328906.65625,322707.4375,285314.40625,255970.671875,222289.09375,246275.203125,0.0478515625,0.98779296875,0.0703125,0.1525878757238388,-1.5563963651657104,-1.0375975370407104,73.33333587646484,173485.0,1.0
14826.1344368,294273.59375,295306.875,328817.0625,322651.28125,285271.5625,255945.1875,222252.4375,246245.96875,0.047119140625,0.986572265625,0.069091796875,0.2441406100988388,-1.4648436307907104,-1.0986326932907104,73.33333587646484,173486.0,1.0
14826.2097113,294242.75,295006.21875,328585.3125,322642.8125,285124.78125,255882.96875,222193.515625,246237.5625,0.046142578125,0.9853515625,0.07080078125,0.3662109076976776,-1.4343260526657104,-1.1291502714157104,73.33333587646484,173487.0,1.0
14826.2097232,294258.59375,294835.0,328513.0,322686.875,285062.90625,255861.59375,222185.375,246258.390625,0.04833984375,0.987060546875,0.07275390625,0.3662109076976776,-1.4343260526657104,-1.0681151151657104,73.33333587646484,173488.0,1.0
14826.2097246,294301.40625,295051.625,328721.5625,322725.0625,285184.5,255915.421875,222245.734375,246286.015625,0.04833984375,0.9873046875,0.072021484375,0.4577636420726776,-1.3732908964157104,-1.1596678495407104,73.33333587646484,173489.0,1.0
14826.2097258,294302.5625,295329.5,328902.90625,322694.90625,285305.28125,255967.0,222286.59375,246274.296875,0.047119140625,0.989501953125,0.072021484375,0.3967284858226776,-1.4038084745407104,-1.1901854276657104,73.33333587646484,173490.0,1.0
14826.209727,294263.9375,295296.96875,328811.625,322639.65625,285263.96875,255951.0,222257.890625,246248.109375,0.047119140625,0.990966796875,0.077392578125,0.4272460639476776,-1.4038084745407104,-1.1291502714157104,73.33333587646484,173491.0,1.0
