Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
14364.5192217,292201.78125,298341.625,357166.5,353301.53125,288776.0625,257224.421875,222727.71875,245578.0,0.0048828125,0.998291015625,0.1923828125,0.8239745497703552,-1.2817381620407104,-0.9155272841453552,80.0,58138.0,1.0
14364.5266166,292167.34375,298368.25,357115.53125,353258.0625,288758.71875,257223.078125,222719.765625,245571.203125,0.0029296875,0.998779296875,0.189208984375,0.8544921278953552,-1.4953612089157104,-0.8239745497703552,80.0,58139.0,1.0
14364.5266213,292137.84375,298098.96875,356938.5,353250.84375,288663.84375,257171.234375,222667.109375,245551.625,0.00244140625,0.999267578125,0.19287109375,0.7934569716453552,-1.6479490995407104,-0.6713866591453552,80.0,58140.0,1.0
14364.5266226,292151.09375,297893.15625,356868.78125,353287.75,288616.1875,257139.046875,222649.578125,245548.5,0.00244140625,0.99951171875,0.19189453125,0.7324218153953552,-1.9226073026657104,-0.6408690810203552,80.0,58141.0,1.0
14364.5266238,292185.0625,298053.1875,357018.875,353318.4375,288688.96875,257173.28125,222690.796875,245573.890625,0.003662109375,0.99853515625,0.1943359375,0.6103515028953552,-2.075195074081421,-0.6103515028953552,80.0,58142.0,1.0
14364.5623326,292186.65625,298342.4375,357170.0625,353292.75,288775.4375,257237.65625,222743.546875,245579.171875,0.00537109375,0.9990234375,0.195556640625,0.4882812201976776,-2.105712652206421,-0.5493163466453552,80.0,58143.0,1.0
14364.5942755,292160.28125,298369.96875,357117.5,353250.46875,288754.96875,257231.21875,222720.75,245553.421875,0.00390625,0.999267578125,0.191650390625,0.5493163466453552,-2.349853277206421,-0.5493163466453552,80.0,58144.0,1.0
14364.5942922,292131.5,298070.0,356900.59375,353240.09375,288640.78125,257148.421875,222651.546875,245541.078125,0.00537109375,0.99658203125,0.191162109375,0.5187987685203552,-2.471923589706421,-0.6103515028953552,80.0,58145.0,1.0
14364.6104192,292139.5625,297855.875,356805.28125,353276.3125,288590.4375,257121.34375,222644.21875,245554.40625,0.0068359375,0.99609375,0.1923828125,0.5187987685203552,-2.471923589706421,-0.5493163466453552,80.0,58146.0,1.0
14364.6104426,292178.625,298037.625,356971.5,353312.875,288678.59375,257189.375,222700.28125,245572.015625,0.009765625,0.99609375,0.192138671875,0.3662109076976776,-2.624511480331421,-0.6103515028953552,80.0,58147.0,1.0
14364.6104439,292180.78125,298331.25,357130.03125,353284.625,288763.1875,257235.0625,222731.390625,245562.984375,0.013916015625,0.99560546875,0.193359375,0.3051757514476776,-2.593993902206421,-0.5187987685203552,80.0,58148.0,1.0
14364.6467249,292147.25,298369.6875,357093.09375,353238.40625,288747.34375,257211.109375,222709.21875,245548.3125,0.014892578125,0.993408203125,0.189453125,0.3051757514476776,-2.471923589706421,-0.5798339247703552,80.0,58149.0,1.0
14364.6467387,292119.0625,298096.8125,356921.96875,353235.28125,288658.40625,257165.328125,222673.1875,245548.046875,0.015380859375,0.995849609375,0.189697265625,0.5187987685203552,-2.349853277206421,-0.5493163466453552,80.0,58150.0,1.0
14364.6611201,292134.28125,297877.15625,356835.875,353276.125,288609.84375,257145.296875,222666.84375,245563.609375,0.0166015625,0.994384765625,0.18896484375,0.4882812201976776,-2.258300542831421,-0.7019042372703552,80.0,58151.0,1.0
14364.6748458,292166.8125,298023.0625,356964.15625,353301.625,288671.625,257178.375,222705.546875,245577.5625,0.0185546875,0.994873046875,0.187255859375,0.4272460639476776,-2.136230230331421,-0.7934569716453552,80.0,58152.0,1.0
14364.6811424,292171.65625,298315.15625,357119.1875,353277.65625,288757.09375,257224.25,222738.90625,245576.296875,0.0205078125,0.99365234375,0.188232421875,0.3967284858226776,-2.075195074081421,-0.8850097060203552,80.0,58153.0,1.0
14364.6991721,292142.78125,298351.90625,357085.3125,353234.125,288745.3125,257224.875,222723.4375,245553.859375,0.017578125,0.995849609375,0.18896484375,0.5798339247703552,-1.8310545682907104,-1.0375975370407104,80.0,58154.0,1.0
14364.6991914,292124.875,298092.34375,356923.9375,353236.53125,288662.59375,257183.390625,222692.5,245555.203125,0.017333984375,0.9951171875,0.18994140625,0.5798339247703552,-1.6784666776657104,-1.0986326932907104,80.0,58155.0,1.0
14364.6991928,292139.46875,297879.03125,356845.25,353272.5625,288611.71875,257151.109375,222674.53125,245556.8125,0.01708984375,0.994384765625,0.1923828125,0.5493163466453552,-1.4648436307907104,-1.1901854276657104,80.0,58156.0,1.0
14364.7136297,292139.46875,297879.03125,356845.25,353272.5625,288611.71875,257151.109375,222674.53125,245556.8125,0.01708984375,0.994384765625,0.1923828125,0.5493163466453552,-1.4648436307907104,-1.1901854276657104,80.0,58157.0,0.0
14364.7136311,292139.46875,297879.03125,356845.25,353272.5625,288611.71875,257151.109375,222674.53125,245556.8125,0.01708984375,0.994384765625,0.1923828125,0.5493163466453552,-1.4648436307907104,-1.1901854276657104,80.0,58158.0,0.0
14364.7136313,292139.46875,297879.03125,356845.25,353272.5625,288611.71875,257151.109375,222674.53125,245556.8125,0.01708984375,0.994384765625,0.1923828125,0.5493163466453552,-1.4648436307907104,-1.1901854276657104,80.0,58159.0,0.0
14364.7136315,292139.46875,297879.03125,356845.25,353272.5625,288611.71875,257151.109375,222674.53125,245556.8125,0.01708984375,0.994384765625,0.1923828125,0.5493163466453552,-1.4648436307907104,-1.1901854276657104,80.0,58160.0,0.0
14364.7136317,292139.46875,297879.03125,356845.25,353272.5625,288611.71875,257151.109375,222674.53125,245556.8125,0.01708984375,0.994384765625,0.1923828125,0.5493163466453552,-1.4648436307907104,-1.1901854276657104,80.0,58161.0,0.0
14364.7136319,292139.46875,297879.03125,356845.25,353272.5625,288611.71875,257151.109375,222674.53125,245556.8125,0.01708984375,0.994384765625,0.1923828125,0.5493163466453552,-1.4648436307907104,-1.1901854276657104,80.0,58162.0,0.0
14364.7136321,292139.46875,297879.03125,356845.25,353272.5625,288611.71875,257151.109375,222674.53125,245556.8125,0.01708984375,0.994384765625,0.1923828125,0.5493163466453552,-1.4648436307907104,-1.1901854276657104,80.0,58163.0,0.0
14364.7136322,292139.46875,297879.03125,356845.25,353272.5625,288611.71875,257151.109375,222674.53125,245556.8125,0.01708984375,0.994384765625,0.1923828125,0.5493163466453552,-1.4648436307907104,-1.1901854276657104,80.0,58164.0,0.0
14364.7136324,292139.46875,297879.03125,356845.25,353272.5625,288611.71875,257151.109375,222674.53125,245556.8125,0.01708984375,0.994384765625,0.1923828125,0.5493163466453552,-1.4648436307907104,-1.1901854276657104,80.0,58165.0,0.0
