Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
14650.078733,293109.0,295382.15625,334024.40625,329412.96875,285207.75,255774.515625,222186.453125,244460.6875,0.022216796875,0.994384765625,0.201171875,0.1525878757238388,-1.6174315214157104,-1.4648436307907104,80.0,129430.0,1.0
14650.0787345,293133.21875,295240.1875,334002.75,329458.125,285157.65625,255756.265625,222179.390625,244479.09375,0.023681640625,0.992431640625,0.19775390625,0.2136230319738388,-1.5869139432907104,-1.4038084745407104,80.0,129431.0,1.0
14650.078736,293166.9375,295418.375,334179.53125,329491.46875,285259.5,255809.828125,222235.890625,244511.375,0.0224609375,0.989990234375,0.19677734375,0.2441406100988388,-1.7089842557907104,-1.3427733182907104,80.0,129432.0,1.0
14650.0787377,293163.875,295653.34375,334288.59375,329461.96875,285357.65625,255864.546875,222281.578125,244516.203125,0.021484375,0.99169921875,0.197265625,0.3967284858226776,-1.8005369901657104,-1.2207030057907104,80.0,129433.0,1.0
14650.0803565,293124.71875,295616.21875,334155.375,329403.40625,285302.96875,255843.09375,222246.171875,244479.09375,0.02099609375,0.994140625,0.197509765625,0.4577636420726776,-1.8310545682907104,-1.1596678495407104,80.0,129434.0,1.0
14650.1073105,293124.71875,295616.21875,334155.375,329403.40625,285302.96875,255843.09375,222246.171875,244479.09375,0.02099609375,0.994140625,0.197509765625,0.4577636420726776,-1.8310545682907104,-1.1596678495407104,80.0,129435.0,0.0
14650.1073146,293124.71875,295616.21875,334155.375,329403.40625,285302.96875,255843.09375,222246.171875,244479.09375,0.02099609375,0.994140625,0.197509765625,0.4577636420726776,-1.8310545682907104,-1.1596678495407104,80.0,129436.0,0.0
14650.107315,293174.0625,295431.4375,334162.09375,329493.96875,285254.21875,255802.40625,222236.703125,244508.609375,0.023193359375,0.996826171875,0.19970703125,0.5798339247703552,-1.9836424589157104,-1.0070799589157104,80.0,129437.0,1.0
14650.1073269,293162.0,295663.625,334272.9375,329459.625,285347.65625,255847.46875,222266.03125,244501.546875,0.02197265625,0.996826171875,0.19873046875,0.4882812201976776,-2.044677495956421,-0.9155272841453552,80.0,129438.0,1.0
14650.1073287,293127.5,295637.78125,334170.5,329411.875,285314.3125,255838.34375,222242.421875,244485.890625,0.0224609375,0.995849609375,0.200927734375,0.5493163466453552,-2.075195074081421,-0.8239745497703552,80.0,129439.0,1.0
14650.1073305,293117.3125,295396.5625,334011.0625,329420.46875,285209.96875,255793.28125,222205.5,244480.890625,0.021484375,0.99658203125,0.199462890625,0.6103515028953552,-2.136230230331421,-0.8239745497703552,80.0,129440.0,1.0
14650.1303685,293146.8125,295269.78125,334008.125,329473.125,285175.375,255782.828125,222204.421875,244500.828125,0.02001953125,0.99755859375,0.19873046875,0.5187987685203552,-2.166747808456421,-0.7019042372703552,80.0,129441.0,1.0
14650.1592093,293174.15625,295452.0,334190.5,329497.71875,285275.15625,255821.0,222244.65625,244514.328125,0.01904296875,0.997802734375,0.200439453125,0.6103515028953552,-2.166747808456421,-0.7324218153953552,80.0,129442.0,1.0
14650.1842808,293160.21875,295673.1875,334293.96875,329463.21875,285364.09375,255858.828125,222274.515625,244512.625,0.0205078125,0.996826171875,0.20068359375,0.6408690810203552,-2.258300542831421,-0.8239745497703552,80.0,129443.0,1.0
14650.2342625,293125.15625,295643.6875,334179.53125,329418.59375,285323.4375,255840.40625,222255.203125,244504.046875,0.020263671875,0.998046875,0.19921875,0.6408690810203552,-2.288818120956421,-0.8544921278953552,80.0,129444.0,1.0
14650.2342705,293110.40625,295395.65625,334003.84375,329418.40625,285207.03125,255792.75,222208.71875,244492.15625,0.021484375,0.997802734375,0.199951171875,0.5187987685203552,-2.319335699081421,-0.7934569716453552,80.0,129445.0,1.0
14650.2342718,293142.34375,295270.84375,333996.84375,329464.09375,285168.5,255783.8125,222194.328125,244485.1875,0.02294921875,0.998291015625,0.20068359375,0.4882812201976776,-2.410888433456421,-0.8544921278953552,80.0,129446.0,1.0
14650.234273,293169.15625,295449.40625,334173.15625,329491.375,285267.8125,255828.15625,222243.671875,244502.609375,0.02294921875,0.997802734375,0.204345703125,0.4577636420726776,-2.410888433456421,-0.8544921278953552,80.0,129447.0,1.0
14650.2342742,293152.1875,295662.53125,334267.5,329455.0625,285353.1875,255856.859375,222270.578125,244501.0,0.023681640625,0.99658203125,0.197265625,0.4882812201976776,-2.349853277206421,-0.9155272841453552,80.0,129448.0,1.0
14650.2342754,293109.4375,295618.71875,334149.03125,329394.46875,285304.28125,255827.171875,222235.0,244470.515625,0.02490234375,0.9970703125,0.196044921875,0.3356933295726776,-2.319335699081421,-1.0070799589157104,80.0,129449.0,1.0
14650.2744245,293109.09375,295382.875,333997.3125,329409.21875,285200.0625,255774.59375,222185.921875,244474.90625,0.02734375,0.994873046875,0.19677734375,0.3356933295726776,-2.197265386581421,-1.0986326932907104,80.0,129450.0,1.0
