Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
14942.2867781,294719.03125,295025.25,326248.84375,319267.0625,285128.96875,255584.25,221439.09375,245373.265625,0.010009765625,0.99072265625,0.064208984375,1.1596678495407104,0.7324218153953552,-2.960204839706421,73.33333587646484,202555.0,1.0
14942.3136515,294683.09375,294701.40625,326013.875,319253.90625,284970.53125,255518.09375,221369.359375,245354.03125,0.009033203125,0.99072265625,0.061279296875,1.2512205839157104,0.4577636420726776,-2.532958745956421,73.33333587646484,202556.0,1.0
14942.3388656,294700.625,294532.625,325925.65625,319294.59375,284897.75,255486.4375,221351.65625,245368.4375,0.009521484375,0.9921875,0.065673828125,1.2207030057907104,0.2136230319738388,-2.288818120956421,73.33333587646484,202557.0,1.0
14942.3636819,294736.03125,294748.8125,326096.84375,319320.0625,285000.21875,255521.125,221399.046875,245382.5625,0.008544921875,0.993896484375,0.06396484375,1.2207030057907104,0.0610351525247097,-2.075195074081421,73.33333587646484,202558.0,1.0
14942.3886436,294738.53125,295038.5625,326275.65625,319297.90625,285128.78125,255571.5625,221444.46875,245380.328125,0.005126953125,0.991455078125,0.066650390625,1.0986326932907104,-0.1831054538488388,-1.8005369901657104,73.33333587646484,202559.0,1.0
14942.4374398,294710.0,295007.53125,326220.0625,319261.5,285108.21875,255559.484375,221428.1875,245367.984375,0.00634765625,0.990478515625,0.0654296875,0.9155272841453552,-0.4577636420726776,-1.4953612089157104,73.33333587646484,202560.0,1.0
14942.4624046,294683.28125,294691.9375,326006.1875,319257.9375,284967.6875,255501.546875,221368.46875,245362.0,0.0068359375,0.98876953125,0.066650390625,0.9765624403953552,-0.6713866591453552,-1.2512205839157104,73.33333587646484,202561.0,1.0
14942.4874034,294700.0625,294527.0625,325926.4375,319294.875,284900.96875,255485.453125,221356.84375,245375.671875,0.0087890625,0.989990234375,0.066162109375,0.8850097060203552,-0.9460448622703552,-1.0681151151657104,73.33333587646484,202562.0,1.0
14942.5124259,294738.875,294747.625,326110.28125,319323.21875,285013.53125,255535.609375,221409.328125,245387.203125,0.0107421875,0.98681640625,0.062744140625,0.9460448622703552,-1.1901854276657104,-0.8239745497703552,73.33333587646484,202563.0,1.0
14942.521147,294740.75,295043.125,326301.25,319300.84375,285150.34375,255579.78125,221453.765625,245381.3125,0.011962890625,0.98779296875,0.0625,0.8850097060203552,-1.3732908964157104,-0.6103515028953552,73.33333587646484,202564.0,1.0
14942.5236371,294708.46875,294993.15625,326226.0625,319259.09375,285113.59375,255552.6875,221422.109375,245359.9375,0.012451171875,0.98779296875,0.061279296875,0.8239745497703552,-1.4953612089157104,-0.6103515028953552,73.33333587646484,202565.0,1.0
14942.5261336,294680.5,294666.5625,325995.375,319251.15625,284959.90625,255479.46875,221354.515625,245353.234375,0.01220703125,0.988037109375,0.06005859375,0.9765624403953552,-1.6479490995407104,-0.5493163466453552,73.33333587646484,202566.0,1.0
14942.5286547,294699.90625,294500.875,325907.03125,319291.8125,284890.78125,255465.4375,221345.671875,245368.15625,0.012451171875,0.98779296875,0.05712890625,1.0375975370407104,-1.8005369901657104,-0.5798339247703552,73.33333587646484,202567.0,1.0
14942.531152,294740.03125,294736.1875,326101.875,319326.34375,285013.53125,255529.984375,221412.09375,245389.4375,0.015625,0.986572265625,0.060546875,1.0986326932907104,-1.9836424589157104,-0.5798339247703552,73.33333587646484,202568.0,1.0
14942.5335704,294744.78125,295032.40625,326297.5625,319301.5625,285151.0625,255583.984375,221456.359375,245382.734375,0.01806640625,0.98876953125,0.062255859375,1.1596678495407104,-2.105712652206421,-0.6408690810203552,73.33333587646484,202569.0,1.0
14942.5361436,294714.28125,295003.96875,326242.59375,319258.21875,285124.15625,255562.796875,221427.75,245359.40625,0.0205078125,0.988037109375,0.057861328125,1.0375975370407104,-2.166747808456421,-0.7019042372703552,73.33333587646484,202570.0,1.0
14942.5386027,294688.8125,294689.71875,326017.71875,319254.8125,284974.46875,255508.53125,221368.5625,245350.109375,0.021240234375,0.988525390625,0.060302734375,1.0986326932907104,-2.166747808456421,-0.7324218153953552,73.33333587646484,202571.0,1.0
14942.5411167,294700.96875,294509.71875,325913.40625,319289.21875,284890.15625,255482.6875,221351.84375,245363.421875,0.024658203125,0.989990234375,0.0595703125,1.0681151151657104,-2.197265386581421,-0.9460448622703552,73.33333587646484,202572.0,1.0
14942.5435714,294738.6875,294739.59375,326095.78125,319319.90625,285004.78125,255532.9375,221411.65625,245392.125,0.025634765625,0.987548828125,0.063720703125,1.1596678495407104,-2.044677495956421,-1.0375975370407104,73.33333587646484,202573.0,1.0
14942.5686332,294744.15625,295043.03125,326295.0625,319300.84375,285145.78125,255581.484375,221453.234375,245387.65625,0.02685546875,0.98876953125,0.05859375,1.1596678495407104,-1.9531248807907104,-1.1291502714157104,73.33333587646484,202574.0,1.0
14942.5936677,294709.03125,295003.53125,326231.3125,319257.84375,285116.09375,255557.703125,221422.921875,245358.421875,0.02685546875,0.990234375,0.06201171875,1.2512205839157104,-1.8310545682907104,-1.2207030057907104,73.33333587646484,202575.0,1.0
14942.6186842,294680.75,294687.28125,326000.03125,319252.84375,284962.5,255493.5,221360.421875,245348.671875,0.027587890625,0.99072265625,0.0625,1.2512205839157104,-1.5563963651657104,-1.2817381620407104,73.33333587646484,202576.0,1.0
14942.6561447,294695.15625,294521.0,325911.875,319290.75,284891.40625,255474.1875,221349.421875,245364.9375,0.02783203125,0.9873046875,0.06396484375,1.1901854276657104,-1.4038084745407104,-1.4038084745407104,73.33333587646484,202577.0,1.0
14942.6812374,294733.5,294748.8125,326103.125,319318.75,285009.0,255529.0,221405.125,245380.0625,0.0302734375,0.988525390625,0.06005859375,1.2512205839157104,-1.2207030057907104,-1.5258787870407104,73.33333587646484,202578.0,1.0
14942.7061742,294745.9375,295055.65625,326306.6875,319299.875,285152.9375,255586.21875,221453.140625,245380.140625,0.03076171875,0.989501953125,0.0576171875,1.3732908964157104,-0.9765624403953552,-1.6174315214157104,73.33333587646484,202579.0,1.0
14942.8558615,294719.3125,295032.59375,326260.03125,319262.5,285135.5,255572.546875,221432.390625,245366.203125,0.029052734375,0.989501953125,0.057861328125,1.4343260526657104,-0.8850097060203552,-1.6784666776657104,73.33333587646484,202580.0,1.0
14942.8558727,294684.96875,294699.53125,326017.28125,319249.4375,284969.8125,255497.625,221357.734375,245347.953125,0.030029296875,0.991455078125,0.058837890625,1.4038084745407104,-0.7934569716453552,-1.5563963651657104,73.33333587646484,202581.0,1.0
